source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
101,92,detail,Chacabuco Nº 170,0100010000000182--019--,0100010000000182--019--,0,0,182,19,-58.13932090,-32.21739970,automatic,verified_close,Urbana,2025-06-25,Departamentos + Local comercial,comercial,11,,,,"156,22",,,
103,94,detail,Avda. Pte. Perón N° 316,,,,,,,,,automatic,missing_cadastral_point,Urbana,2025-07-04,Local comercial y Vivienda unifamiliar,vivienda,1,1,,,"192,27",,,"61,585"
104,95,detail,Calle Pública s/Nº,0100010112710001--020--,0100010112710001--020--,11,271,1,20,-58.18189090,-32.22819120,automatic,missing_address_point,Periurbana,2025-07-08,Vivienda unifamiliar,vivienda,,1,,,,,"74,36",
105,96,detail,Calle Paraná esq Colón s/Nº,0100010000000021--004--,0100010000000021--004--,0,0,21,4,-58.14627115,-32.22676565,automatic,missing_address_point,Periurbana - Colonia Hugues,2025-07-15,Vivienda unifamiliar,vivienda,,,1,,,,"92,64",
106,97,detail,Calle ARA San Juan s/Nº,0100010102060000--011--,0100010102060000--011--,10,206,0,11,-58.19625315,-32.23478295,automatic,missing_address_point,Quintas,2025-07-15,Vivienda unifamiliar,vivienda,1,,,,"65,79",,,
107,98,detail,Maipú Nº 479,0100010000000711--009--,0100010000000711--009--,0,0,711,9,-58.14636005,-32.21509640,automatic,verified_close,Urbana,2025-07-15,Vivienda unifamiliar,vivienda,,1,,,"122,68",,,
108,99,detail,Castelli Nº 555,0100011020910554--013--,0100011020910554--013--,102,91,554,13,-58.13746625,-32.23409190,automatic,verified_close,Urbana,2025-07-15,Vivienda multifamiliar,vivienda,7,,,,"272,84",,,
109,100,detail,María Isabel Fernández Nº 90,0100010000000295--006--,0100010000000295--006--,0,0,295,6,-58.15440265,-32.23440445,admin_override,missing_address_point,Urbana,2025-07-16,Vivienda multifamiliar,vivienda,3,,,,"61,8",,,
110,101,detail,"Alberdi Nº 1218, 1224",0100010000000322--017--,0100010000000322--017--,0,0,322,17,-58.15754480,-32.22939415,automatic,verified_close,Urbana,2025-07-16,Vivienda multifamiliar,vivienda,2,,,,"195,05",,,
111,102,detail,Calle Pública s/Nº,0100010063410003--003--,0100010063410003--003--,6,341,3,3,-58.16085970,-32.21670905,automatic,missing_address_point,Periurbana,2025-07-16,Vivienda unifamiliar,vivienda,,1,,,,,"176,28",
112,103,detail,Alberdi Nº 734,0100010000000040--013--,0100010000000040--013--,0,0,40,13,-58.14916695,-32.22316970,automatic,verified_close,Urbana,2025-07-17,Vivienda multifamiliar,vivienda,,3,,,,,"240,93",
113,104,detail,Pte Illia Nº 124,0100010000000456--001--,0100010000000456--001--,0,0,456,1,-58.15165565,-32.22767815,automatic,verified_close,Urbana,2025-07-18,Galpón / Depósito / Fábrica,galpón / depósito / fábrica,1,,,,,"1424,5",,
114,105,detail,"Rocamora Nº 739, 741, 743",0100010000000544--012--,0100010000000544--012--,0,0,544,12,-58.15257260,-32.22130850,automatic,verified_nearby,Urbana,2025-07-21,Vivienda multifamiliar,vivienda,,3,,,,,"211,265",
115,106,detail,"Laprida Nº 272, 276",0100010000000191--012--,0100010000000191--012--,0,0,191,12,-58.13343940,-32.22383920,automatic,verified_close,Urbana,2025-07-21,Vivienda multifamiliar,vivienda,2,,,,"25,095",,,
116,107,detail,Calle Pùblica s/Nº,0100010162230008--002--,0100010162230008--002--,16,223,8,2,-58.18098110,-32.25666265,automatic,missing_address_point,Periurbana,2025-07-21,Vivienda unifamiliar,vivienda,1,,,,"137,42",,,
117,108,detail,Mitre Nº 1418,0100011020080248--015--,0100011020080248--015--,102,8,248,15,-58.15357405,-32.23911220,automatic,verified_close,Urbana,2025-07-24,Vivienda unifamiliar,vivienda,1,,,,"55,76",,,
118,109,detail,25 DE Mayo Nº 50 esq. Avda Urquiza,0100010000000130--012--,0100010000000130--012--,0,0,130,12,-58.14003675,-32.22317195,automatic,verified_close,Centro,2025-07-24,Local comercial,comercial,1,,,,,"92,86",,
119,110,detail,Bolívar Nº 692,0100010000000048--013--,0100010000000048--013--,0,0,48,13,-58.14621805,-32.22477015,automatic,verified_close,Urbana,2025-07-31,Vivienda unifamiliar,vivienda,1,,,,"4,765",,,
